Identification number,Section,Subsection,Head office country,Head office city,Level of interest,Fields of interest,Estimate of costs (absolute amount),Estimate of costs (as a range)
33885548180-35,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Bruxelles,European,"Trade		Competition		Consumer Affairs		Energy		Enterprise		Taxation		Internal Market		Transport		Climate Action",,25000-49999
23044245653-95,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Italy,Alessandria,"European		national		regional/local","General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Humanitarian Aid		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Culture		Development		Education		Enlargement		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Youth		Justice and Fundamental Rights		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Sport		Transport		Climate Action		Home Affairs		Communication",,0-9999
204793610436-15,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Belgium,Bruxelles,"European		national		regional/local","General and Institutional Affairs		Agriculture and Rural Development		Trade		Competition		Consumer Affairs		Customs		Energy		Environment		Internal Market		Fisheries and Aquaculture		Foreign and Security Policy and Defence		Regional Policy		Research and Technology		External Relations		Public Health		Food Safety		Sport		Climate Action",,100000-199999
41335422680-77,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,United Kingdom,London,national,"Agriculture and Rural Development		Education		Environment		Fisheries and Aquaculture		Food Safety",60000,
780844810514-77,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,United Kingdom,London,"European		global		national","Development		Energy		Enterprise		Environment		Regional Policy		Research and Technology		Trans-European Networks		Food Safety		Transport		Climate Action",,10000-24999
5265780509-97,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Agriculture and Rural Development		Audiovisual and Media		Budget		Trade		Competition		Consumer Affairs		Development		Customs		Education		Employment and Social Affairs		Energy		Enterprise		Environment		Taxation		Justice and Fundamental Rights		Internal Market		Foreign and Security Policy and Defence		Research and Technology		External Relations		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action		Home Affairs		Financial Stability		Financial Services and Capital Markets Union",,1000000-1249999
35232033800-14,II - In-house lobbyists and trade/business/professional associations,Trade unions and professional associations,Spain,Madrid,"global		national","Culture		Education		Research and Technology		Trans-European Networks		Information Society",,0-9999
541150616964-09,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Culture		Education		Youth",,50000-99999
691501017009-54,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Slovenia,Ljubljana,"European		national		regional/local","Agriculture and Rural Development		Budget		Development		Education		Enlargement		Energy		Environment		Youth		Fisheries and Aquaculture		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Food Safety		Climate Action",,10000-24999
507800799-30,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"General and Institutional Affairs		Audiovisual and Media		Trade		Competition		Consumer Affairs		Customs		Employment and Social Affairs		Energy		Enterprise		Environment		Justice and Fundamental Rights		Internal Market		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action",,50000-99999
36538072001-07,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"Agriculture and Rural Development		Consumer Affairs		Employment and Social Affairs		Enterprise		Environment		Taxation		Youth		Public Health		Food Safety",,25000-49999
759849612290-93,I - Professional consultancies/law firms/self-employed consultants,Professional consultancies,Spain,Mutilva,"European		national		regional/local","General and Institutional Affairs		Audiovisual and Media		Budget		Energy		Enterprise		Environment		Regional Policy		Research and Technology		Trans-European Networks		Public Health		Food Safety		Information Society		Transport		Climate Action",850000,
322724518384-06,II - In-house lobbyists and trade/business/professional associations,Other organisations,France,PARIS,national,"Consumer Affairs		Enterprise		Internal Market		Foreign and Security Policy and Defence		Information Society",90000,
93272076510-87,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",France,Paris,"European		global","Employment and Social Affairs		Research and Technology		Public Health",,700000-799999
754859316975-45,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,European,"Audiovisual and Media		Culture		Education		Youth		Justice and Fundamental Rights		External Relations		Trans-European Networks",200000,
506517716918-45,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Spain,Barcelona,European,"Audiovisual and Media		Consumer Affairs		Education		Research and Technology		Information Society		Communication",44000,
15340821653-49,II - In-house lobbyists and trade/business/professional associations,Trade and business associations,Belgium,Brussels,European,"General and Institutional Affairs		Economic and Financial Affairs		Competition		Employment and Social Affairs		Enterprise		Environment		Internal Market		Research and Technology		Public Health",,400000-499999
51375423794-46,II - In-house lobbyists and trade/business/professional associations,Companies & groups,Finland,Helsinki,"European		national		regional/local","Energy		Environment		Climate Action",,100000-199999
14499928133-02,III - Non-governmental organisations,"Non-governmental organisations		platforms and networks and similar",Belgium,Brussels,"European		global","Economic and Financial Affairs		Budget		Trade		Culture		Development		Education		Enlargement		Foreign and Security Policy and Defence		External Relations",,25000-49999
